from,to,type,price,Pickup-time,Drop-off-time
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,₹881.76,2023-10-22 12:09:45.528376,13:21
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,₹976.92,2023-10-22 12:09:45.529376,13:18
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹1,979.82",2023-10-22 12:09:45.529376,13:23
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,₹930.55,2023-10-22 12:09:45.530376,13:18
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,₹835.01,2023-10-22 12:10:04.734201,13:31
Kempegowda International Airport Bengaluru,Koramangala,PremierPerson4,₹922.28,2023-10-22 12:10:04.735723,13:29
Kempegowda International Airport Bengaluru,Koramangala,UberXLPerson6,"₹1,841.99",2023-10-22 12:10:04.736715,13:33
Kempegowda International Airport Bengaluru,Koramangala,Go SedanPerson4,₹879.77,2023-10-22 12:10:04.738713,13:28
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,₹790.90,2023-10-22 12:10:25.604955,13:23
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,₹870.71,2023-10-22 12:10:25.604955,13:21
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,711.97",2023-10-22 12:10:25.604955,13:25
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,₹831.83,2023-10-22 12:10:25.605954,13:20
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹745.17,2023-10-22 12:10:45.752408,13:08
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,₹817.27,2023-10-22 12:10:45.752408,13:08
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberXLPerson6,"₹1,577.13",2023-10-22 12:10:45.752408,13:11
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,Go SedanPerson4,₹782.14,2023-10-22 12:10:45.753406,13:06
Kempegowda International Airport Bengaluru,Yelahanka,UberGoPerson4,₹548.41,2023-10-22 12:11:08.199044,12:37
Kempegowda International Airport Bengaluru,Yelahanka,PremierPerson4,₹587.29,2023-10-22 12:11:08.200037,12:37
Kempegowda International Airport Bengaluru,Yelahanka,UberXLPerson6,₹997.06,2023-10-22 12:11:08.200037,12:40
Kempegowda International Airport Bengaluru,Yelahanka,Go SedanPerson4,₹568.36,2023-10-22 12:11:08.201036,12:35
Kempegowda International Airport Bengaluru,Whitefield,UberGoPerson4,₹678.66,2023-10-22 12:11:28.211156,13:27
Kempegowda International Airport Bengaluru,Whitefield,PremierPerson4,₹759.03,2023-10-22 12:11:28.212156,13:26
Kempegowda International Airport Bengaluru,Whitefield,UberXLPerson6,"₹1,606.05",2023-10-22 12:11:28.212156,13:29
Kempegowda International Airport Bengaluru,Whitefield,Go SedanPerson4,₹719.87,2023-10-22 12:11:28.212156,13:26
Kempegowda International Airport Bengaluru,Vajarahalli,UberGoPerson4,"₹1,119.49",2023-10-22 12:11:50.955757,14:01
Kempegowda International Airport Bengaluru,Vajarahalli,PremierPerson4,"₹1,244.15",2023-10-22 12:11:50.956796,14:00
Kempegowda International Airport Bengaluru,Vajarahalli,UberXLPerson6,"₹2,557.96",2023-10-22 12:11:50.956796,14:03
Kempegowda International Airport Bengaluru,Vajarahalli,Go SedanPerson4,"₹1,183.42",2023-10-22 12:11:50.957826,14:00
Kempegowda International Airport Bengaluru,Electronic City,UberGoPerson4,"₹1,044.96",2023-10-22 12:12:12.877255,13:54
Kempegowda International Airport Bengaluru,Electronic City,PremierPerson4,"₹1,157.04",2023-10-22 12:12:12.877255,13:54
Kempegowda International Airport Bengaluru,Electronic City,UberXLPerson6,"₹2,338.24",2023-10-22 12:12:12.878256,13:57
Kempegowda International Airport Bengaluru,Electronic City,Go SedanPerson4,"₹1,102.44",2023-10-22 12:12:12.878256,13:54
Kempegowda International Airport Bengaluru,Nagarabhavi,UberGoPerson4,₹823.83,2023-10-22 12:12:30.690912,13:30
Kempegowda International Airport Bengaluru,Nagarabhavi,PremierPerson4,₹909.21,2023-10-22 12:12:30.691921,13:30
Kempegowda International Airport Bengaluru,Nagarabhavi,UberXLPerson6,"₹1,809.04",2023-10-22 12:12:30.691921,13:33
