from,to,type,price,Pickup-time,Drop-off-time
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,₹881.76,2023-10-22 18:55:37.691811,20:10
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,₹976.92,2023-10-22 18:55:37.691811,20:10
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹1,979.82",2023-10-22 18:55:37.691811,20:13
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,₹930.55,2023-10-22 18:55:37.692820,20:10
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,₹835.01,2023-10-22 18:55:59.218211,20:20
Kempegowda International Airport Bengaluru,Koramangala,PremierPerson4,₹922.28,2023-10-22 18:55:59.219209,20:19
Kempegowda International Airport Bengaluru,Koramangala,UberXLPerson6,"₹1,841.99",2023-10-22 18:55:59.219209,20:22
Kempegowda International Airport Bengaluru,Koramangala,Go SedanPerson4,₹879.77,2023-10-22 18:55:59.219209,20:20
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,₹843.44,2023-10-22 18:56:18.299497,20:10
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,₹932.12,2023-10-22 18:56:18.299497,20:09
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,866.84",2023-10-22 18:56:18.300494,20:13
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,₹888.91,2023-10-22 18:56:18.300494,20:09
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹745.17,2023-10-22 18:56:38.343044,19:53
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,₹817.27,2023-10-22 18:56:38.343044,19:51
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberXLPerson6,"₹1,577.13",2023-10-22 18:56:38.343044,19:55
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,Go SedanPerson4,₹782.14,2023-10-22 18:56:38.344043,19:52
Kempegowda International Airport Bengaluru,Yelahanka,UberGoPerson4,₹548.41,2023-10-22 18:57:03.487109,19:26
Kempegowda International Airport Bengaluru,Yelahanka,PremierPerson4,₹587.29,2023-10-22 18:57:03.487109,19:25
Kempegowda International Airport Bengaluru,Yelahanka,UberXLPerson6,₹997.06,2023-10-22 18:57:03.488140,19:28
Kempegowda International Airport Bengaluru,Yelahanka,Go SedanPerson4,₹568.36,2023-10-22 18:57:03.488140,19:25
Kempegowda International Airport Bengaluru,Whitefield,UberGoPerson4,₹678.66,2023-10-22 18:57:24.883000,20:23
Kempegowda International Airport Bengaluru,Whitefield,PremierPerson4,₹759.03,2023-10-22 18:57:24.883000,20:23
Kempegowda International Airport Bengaluru,Whitefield,UberXLPerson6,"₹1,606.05",2023-10-22 18:57:24.884000,20:25
Kempegowda International Airport Bengaluru,Whitefield,Go SedanPerson4,₹719.87,2023-10-22 18:57:24.884000,20:23
Kempegowda International Airport Bengaluru,Vajarahalli,UberGoPerson4,"₹1,118.19",2023-10-22 18:57:45.513362,20:35
Kempegowda International Airport Bengaluru,Vajarahalli,PremierPerson4,"₹1,242.63",2023-10-22 18:57:45.513362,20:34
Kempegowda International Airport Bengaluru,Vajarahalli,UberXLPerson6,"₹2,554.12",2023-10-22 18:57:45.514362,20:37
Kempegowda International Airport Bengaluru,Vajarahalli,Go SedanPerson4,"₹1,182.00",2023-10-22 18:57:45.514362,20:35
Kempegowda International Airport Bengaluru,Electronic City,UberGoPerson4,"₹1,044.96",2023-10-22 18:58:06.649575,20:45
Kempegowda International Airport Bengaluru,Electronic City,PremierPerson4,"₹1,157.04",2023-10-22 18:58:06.649575,20:44
Kempegowda International Airport Bengaluru,Electronic City,UberXLPerson6,"₹2,338.24",2023-10-22 18:58:06.649575,20:47
Kempegowda International Airport Bengaluru,Electronic City,Go SedanPerson4,"₹1,102.44",2023-10-22 18:58:06.650575,20:44
Kempegowda International Airport Bengaluru,Nagarabhavi,UberGoPerson4,₹823.83,2023-10-22 18:58:28.584497,20:04
Kempegowda International Airport Bengaluru,Nagarabhavi,PremierPerson4,₹909.21,2023-10-22 18:58:28.584497,20:04
Kempegowda International Airport Bengaluru,Nagarabhavi,UberXLPerson6,"₹1,809.04",2023-10-22 18:58:28.585466,20:06
Kempegowda International Airport Bengaluru,Nagarabhavi,Go SedanPerson4,₹867.62,2023-10-22 18:58:28.585466,20:04
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberGoPerson4,₹723.82,2023-10-22 18:58:49.357431,19:50
Kempegowda International Airport Bengaluru,Kalyan Nagar,PremierPerson4,₹792.31,2023-10-22 18:58:49.357431,19:49
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberXLPerson6,"₹1,514.21",2023-10-22 18:58:49.357431,19:52
Kempegowda International Airport Bengaluru,Kalyan Nagar,Go SedanPerson4,₹758.96,2023-10-22 18:58:49.358432,19:50
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,151.08",2023-10-22 18:59:14.947270,20:07
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,402.04",2023-10-22 18:59:14.948269,20:09
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,257.50",2023-10-22 18:59:14.949273,20:11
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,234.73",2023-10-22 18:59:14.949273,20:07
Koramangala,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,020.53",2023-10-22 18:59:43.527284,20:12
Koramangala,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,239.40",2023-10-22 18:59:43.528253,20:12
